# PrefixSumIF + compile
# rank | self_us | calls | total_us | name

rank     self_us  calls    total_us  name
----------------------------------------------------------------------------------------------------
   1     48331.1      2     48331.1  triton_tem_fused_convolution_27
   2     46317.9      2     46317.9  triton_tem_fused_convolution_20
   3     24968.0      1     24968.0  triton_tem_fused_convolution_13
   4     24915.9      1     24915.9  triton_tem_fused_convolution_6
   5     18930.2      3     18930.2  triton_tem_fused_avg_pool2d_convolution_29
   6     14534.5      2     14534.5  triton_poi_fused__to_copy_ge_gt_select_stack_sub_where_zeros_like_4
   7     12520.9      1     12520.9  triton_tem_fused_avg_pool2d_convolution_9
   8     11875.7      1     11875.7  triton_tem_fused_avg_pool2d_convolution_23
   9     11834.4      1     11834.4  triton_tem_fused_avg_pool2d_convolution_16
  10      8795.0      1      8795.0  triton_tem_fused_convolution_view_2
  11      8660.9      2      8660.9  triton_per_fused_convolution_cumsum_view_3
  12      7332.5      2      7332.5  triton_poi_fused__to_copy_ge_gt_select_stack_sub_where_zeros_like_11
  13      5478.5      3      5478.5  triton_poi_fused__to_copy_ge_gt_select_stack_sub_where_zeros_like_18
  14      4311.7      2      4311.7  triton_per_fused_avg_pool2d_convolution_cumsum_view_10
  15      3248.8      3      3248.8  triton_per_fused_avg_pool2d_convolution_cumsum_view_17
  16      2735.0      3      2735.0  triton_poi_fused__to_copy_ge_gt_select_stack_sub_where_zeros_like_25
  17      2561.9      1      2561.9  triton_poi_fused_avg_pool2d_7
  18      1875.9      1      1875.9  triton_tem_fused_addmm_avg_pool2d_t_view_33
  19      1569.2      3      1569.2  triton_per_fused_avg_pool2d_convolution_cumsum_view_24
  20      1287.4      1      1287.4  triton_poi_fused_avg_pool2d_14
  21       635.7      1       635.7  triton_poi_fused_avg_pool2d_21
  22       576.4      3       576.4  triton_poi_fused__to_copy_ge_gt_select_stack_sub_where_zeros_like_31
  23       317.6      1       317.6  triton_poi_fused_avg_pool2d_28
  24       313.0      1       313.0  triton_tem_fused_addmm_t_36
  25       289.2      3       289.2  triton_per_fused_avg_pool2d_convolution_cumsum_view_30
  26       234.5      1       234.5  triton_tem_fused_addmm_t_37
  27       178.2      1       178.2  triton_poi_fused_convolution_view_0
  28       112.0      5       112.0  triton_poi_fused_convolution_26
  29        94.3      1        94.3  triton_poi_fused_avg_pool2d_32
  30        11.5      1        11.5  triton_poi_fused_avg_pool2d_convolution_22
  31        10.5      2        10.5  triton_poi_fused_convolution_19
  32         5.8      2         5.8  triton_poi_fused__to_copy_ge_gt_select_stack_sub_where_zeros_like_35
  33         4.4      2         4.4  triton_per_fused_cumsum_view_34
  34         3.8      1         3.8  triton_poi_fused_avg_pool2d_convolution_15
  35         2.5      1         2.5  triton_poi_fused_convolution_12
  36         2.3      1         2.3  triton_poi_fused_convolution_view_1
  37         2.0      1         2.0  triton_poi_fused_avg_pool2d_convolution_8
  38         1.9      1         1.9  triton_poi_fused_convolution_5
