# SJ-LIFNode + compile
# rank | self_us | calls | total_us | name

rank     self_us  calls    total_us  name
----------------------------------------------------------------------------------------------------
   1     52744.7     15     52744.7  _multistep_lif_forward_kernel
   2     48444.1      2     48444.1  triton_tem_fused_convolution_view_31
   3     46231.7      2     46231.7  triton_tem_fused_convolution_view_23
   4     25006.3      2     25006.3  _multistep_lif_forward_kernel_0
   5     24882.7      1     24882.7  triton_tem_fused_convolution_view_15
   6     24791.5      1     24791.5  triton_tem_fused_convolution_view_7
   7     18917.9      3     18917.9  triton_tem_fused_convolution_max_pool2d_with_indices_view_33
   8     12613.1      1     12613.1  triton_tem_fused_convolution_max_pool2d_with_indices_view_10
   9     12449.1      2     12449.1  _multistep_lif_forward_kernel_1
  10     11967.3      1     11967.3  triton_tem_fused_convolution_max_pool2d_with_indices_view_26
  11     11775.2      1     11775.2  triton_tem_fused_convolution_max_pool2d_with_indices_view_18
  12      9367.3      3      9367.3  _multistep_lif_forward_kernel_2
  13      8794.9      1      8794.9  triton_tem_fused_convolution_view_2
  14      8650.4      2      8650.4  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_view_3
  15      4702.5      3      4702.5  _multistep_lif_forward_kernel_3
  16      4353.0      1      4353.0  triton_poi_fused_convolution_view_5
  17      4305.4      2      4305.4  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_11
  18      3221.0      3      3221.0  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_19
  19      2530.9      1      2530.9  triton_poi_fused_max_pool2d_with_indices_view_8
  20      2162.8      1      2162.8  triton_poi_fused_convolution_view_13
  21      2140.5      2      2140.5  triton_poi_fused_convolution_view_21
  22      1876.2      1      1876.2  triton_tem_fused_addmm_max_pool2d_with_indices_t_view_38
  23      1566.9      3      1566.9  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_27
  24      1259.7      1      1259.7  triton_poi_fused_max_pool2d_with_indices_view_16
  25      1183.0      3      1183.0  _multistep_lif_forward_kernel_4
  26      1054.3      2      1054.3  triton_poi_fused_convolution_view_29
  27      1000.2      2      1000.2  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_view_4
  28       630.6      1       630.6  triton_poi_fused_max_pool2d_with_indices_view_24
  29       483.1      2       483.1  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_12
  30       362.9      3       362.9  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_20
  31       334.8      3       334.8  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_34
  32       313.8      1       313.8  triton_poi_fused_max_pool2d_with_indices_view_32
  33       313.1      1       313.1  triton_tem_fused_addmm_t_view_40
  34       234.6      1       234.6  triton_tem_fused_addmm_t_view_41
  35       227.9      2       227.9  triton_poi_fused_convolution_view_36
  36       183.4      3       183.4  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_28
  37       175.3      1       175.3  triton_poi_fused_convolution_view_0
  38       119.1      5       119.1  triton_poi_fused_convolution_view_30
  39        61.4      1        61.4  triton_poi_fused_max_pool2d_with_indices_view_37
  40        41.3      3        41.3  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_35
  41        36.5      2        36.5  _multistep_lif_forward_kernel_5
  42        12.7      2        12.7  triton_poi_fused_convolution_view_22
  43         8.8      1         8.8  triton_poi_fused_convolution_max_pool2d_with_indices_view_25
  44         3.8      1         3.8  triton_poi_fused_convolution_max_pool2d_with_indices_view_17
  45         3.0      1         3.0  triton_poi_fused_convolution_view_14
  46         2.3      1         2.3  triton_poi_fused_convolution_max_pool2d_with_indices_view_9
  47         2.2      1         2.2  triton_poi_fused_convolution_view_1
  48         2.2      2         2.2  triton_poi_fused_full_like_view_39
  49         2.1      1         2.1  triton_poi_fused_convolution_view_6
