# torch.profiler 抓到的 ATen ops + CUDA kernels（含 cuDNN/cuBLAS 内核）
# forward: gm((4, 1, 3, 224, 224)), eval, no_grad, BATCH=1, T=4

===================================================================================================================================================================================================
Top ATen ops + CUDA kernels by self_cuda_time_total
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             gm_forward         0.00%       0.000us         0.00%       0.000us       0.000us       6.297ms       111.03%       6.297ms       6.297ms             1  
                                aten::cudnn_convolution         7.43%     703.042us        21.77%       2.059ms     158.382us       3.672ms        64.75%       3.802ms     292.425us            13  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us     990.189us        17.46%     990.189us     330.063us             3  
sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us     753.354us        13.28%     753.354us     376.677us             2  
                            sj::multistep_lif_inference        15.81%       1.495ms        17.64%       1.669ms     111.234us     734.153us        12.95%     734.153us      48.944us            15  
                          _multistep_lif_forward_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     734.153us        12.95%     734.153us      48.944us            15  
void cutlass__5x_cudnn::Kernel<cutlass_tensorop_s168...         0.00%       0.000us         0.00%       0.000us       0.000us     657.608us        11.60%     657.608us     131.522us             5  
                                            aten::addmm         0.65%      61.747us         0.77%      73.098us      24.366us     641.737us        11.32%     641.737us     213.912us             3  
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     641.737us        11.32%     641.737us     213.912us             3  
sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us     528.456us         9.32%     528.456us     264.228us             2  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us     437.416us         7.71%     437.416us      18.226us            24  
                                             aten::add_         0.69%      64.983us         1.06%     100.354us       7.720us     340.003us         6.00%     340.003us      26.154us            13  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     340.003us         6.00%     340.003us      26.154us            13  
                                       aten::avg_pool2d         0.31%      29.520us         0.50%      47.132us       9.426us     196.420us         3.46%     196.420us      39.284us             5  
void at::native::(anonymous namespace)::avg_pool2d_o...         0.00%       0.000us         0.00%       0.000us       0.000us     196.420us         3.46%     196.420us      39.284us             5  
void cudnn::engines_precompiled::nhwcToNchwKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us     174.145us         3.07%     174.145us      17.414us            10  
