# COMPILE 全 Triton kernel 表 (BATCH=32, T=4)
# 列: rank | self_cuda_us | calls | total_cuda_us | name

rank     self_us  calls    total_us  name
----------------------------------------------------------------------------------------------------
   1     52605.3     15     52605.3  _multistep_lif_forward_kernel
   2     48195.1      2     48195.1  triton_tem_fused_convolution_view_31
   3     46077.5      2     46077.5  triton_tem_fused_convolution_view_23
   4     24896.6      2     24896.6  _multistep_lif_forward_kernel_0
   5     24884.9      1     24884.9  triton_tem_fused_convolution_view_15
   6     24790.1      1     24790.1  triton_tem_fused_convolution_view_7
   7     18890.8      3     18890.8  triton_tem_fused_convolution_max_pool2d_with_indices_view_33
   8     12598.9      1     12598.9  triton_tem_fused_convolution_max_pool2d_with_indices_view_10
   9     12460.7      2     12460.7  _multistep_lif_forward_kernel_1
  10     11880.3      1     11880.3  triton_tem_fused_convolution_max_pool2d_with_indices_view_26
  11     11768.9      1     11768.9  triton_tem_fused_convolution_max_pool2d_with_indices_view_18
  12      9339.6      3      9339.6  _multistep_lif_forward_kernel_2
  13      8764.1      1      8764.1  triton_tem_fused_convolution_view_2
  14      8658.5      2      8658.5  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_view_3
  15      4692.9      3      4692.9  _multistep_lif_forward_kernel_3
  16      4351.4      1      4351.4  triton_poi_fused_convolution_view_5
  17      4299.2      2      4299.2  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_11
  18      3221.7      3      3221.7  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_19
  19      2533.4      1      2533.4  triton_poi_fused_max_pool2d_with_indices_view_8
  20      2160.8      1      2160.8  triton_poi_fused_convolution_view_13
  21      2140.1      2      2140.1  triton_poi_fused_convolution_view_21
  22      1869.6      1      1869.6  triton_tem_fused_addmm_max_pool2d_with_indices_t_view_38
  23      1569.3      3      1569.3  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_27
  24      1257.8      1      1257.8  triton_poi_fused_max_pool2d_with_indices_view_16
  25      1179.3      3      1179.3  _multistep_lif_forward_kernel_4
  26      1053.0      2      1053.0  triton_poi_fused_convolution_view_29
  27       993.7      2       993.7  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_view_4
  28       632.5      1       632.5  triton_poi_fused_max_pool2d_with_indices_view_24
  29       497.0      2       497.0  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_12
  30       367.5      3       367.5  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_20
  31       340.1      3       340.1  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_34
  32       312.1      1       312.1  triton_tem_fused_addmm_t_view_40
  33       309.5      1       309.5  triton_poi_fused_max_pool2d_with_indices_view_32
  34       233.8      1       233.8  triton_tem_fused_addmm_t_view_41
  35       231.0      2       231.0  triton_poi_fused_convolution_view_36
  36       180.3      3       180.3  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_28
  37       173.3      1       173.3  triton_poi_fused_convolution_view_0
  38       119.6      5       119.6  triton_poi_fused_convolution_view_30
  39        60.5      1        60.5  triton_poi_fused_max_pool2d_with_indices_view_37
  40        37.2      3        37.2  triton_poi_fused__native_batch_norm_legit_no_training_convolution_full_like_max_pool2d_with_indices_view_35
  41        36.2      2        36.2  _multistep_lif_forward_kernel_5
  42        12.1      2        12.1  triton_poi_fused_convolution_view_22
  43         8.0      1         8.0  triton_poi_fused_convolution_max_pool2d_with_indices_view_25
  44         3.9      1         3.9  triton_poi_fused_convolution_max_pool2d_with_indices_view_17
  45         2.9      1         2.9  triton_poi_fused_convolution_view_14
  46         2.7      1         2.7  triton_poi_fused_convolution_max_pool2d_with_indices_view_9
  47         2.2      2         2.2  triton_poi_fused_full_like_view_39
  48         2.1      1         2.1  triton_poi_fused_convolution_view_6
  49         2.1      1         2.1  triton_poi_fused_convolution_view_1
